cross_street,direction,lat,lon,municipality,name,phase,source,stage1,stage2,status,stop_id,street
Hickory St E,,43.47772802,-80.52515698,Waterloo,King St N at Hickory St E,,GRT,,,Active,10948,King St N
Portsmouth Gate,,43.43923263,-80.55402629,Waterloo,University Ave W at Portsmouth Gate,,GRT,,,Active,12934,University Ave W
Dearborn Pl,,43.48702298,-80.51822699,Waterloo,Lexington Rd at Dearborn Pl,,GRT,,,Active,13012,Lexington Rd
ION platform - Northbound,,43.468879,-80.534397,Waterloo,Laurier-Waterloo Park Station at ION platform - Northbound,,GRT,,,Active,13382,Laurier-Waterloo Park Station
Dietz Ave,,43.46068796,-80.53359298,Waterloo,Erb St W at Dietz Ave,,GRT,,,Active,11038,Erb St W
Warren Rd,,43.431543,-80.51526498,Kitchener,Queens Blvd at Warren Rd,,GRT,,,Active,12410,Queens Blvd
Conrad Pl,,43.50206931,-80.54932319,Waterloo,Randall Dr at Conrad Pl,,GRT,,,Active,13846,Randall Dr
Beechlawn Dr,,43.46909304,-80.56178501,Waterloo,Columbia St W at Beechlawn Dr,,GRT,,,Active,10122,Columbia St W
Lifestyle Way,,43.437633,-80.562984,Waterloo,The Boardwalk at Lifestyle Way,,GRT,,,Active,12971,The Boardwalk
Weber St N,,43.47782797,-80.52071802,Waterloo,University Ave E at Weber St N,,GRT,,,Active,11725,University Ave E
Barrel Yards Blvd,,43.46302432,-80.52861719,Waterloo,Erb St W at Barrel Yards Blvd,,GRT,,,Active,10998,Erb St W
,Northbound,43.464149875777245,-80.52299239690531,Waterloo,Waterloo Public Square,1.0,ION,LRT,LRT,Constructed,Waterloo Public Square,
,Bi-Directional,43.4688656767398,-80.53440816102746,Waterloo,Laurier - Waterloo Park,1.0,ION,LRT,LRT,Constructed,Laurier - Waterloo Park,
,Southbound,43.462152497715735,-80.52337277157697,Waterloo,Willis Way,1.0,ION,LRT,LRT,Constructed,Willis Way,
,Bi-Directional,43.45729196018955,-80.51205994712706,Kitchener,Grand River Hospital,1.0,ION,LRT,LRT,Constructed,Grand River Hospital,
,Bi-Directional,43.45984440872096,-80.5183645133394,Waterloo,Allen,1.0,ION,LRT,LRT,Constructed,Allen,
,Bi-Directional,43.47324659780303,-80.54116853332651,Waterloo,University of Waterloo,1.0,ION,LRT,LRT,Constructed,University of Waterloo,
,Bi-Directional,43.48163206908413,-80.54516179578839,Waterloo,Research and Technology,1.0,ION,LRT,LRT,Constructed,Research and Technology,
,Bi-Directional,43.49721976492402,-80.54321576462178,Waterloo,Northfield,1.0,ION,LRT,LRT,Constructed,Northfield,
,Bi-Directional,43.49814543225556,-80.52945517248838,Waterloo,Conestoga,1.0,ION,LRT,LRT,Constructed,Conestoga,
